Race,Ethnicity,Gender,AgeRange,Column,Row,Population,Year
ALL,ALL,ALL,0TO14,1,10,8369,2020
ALL,ALL,ALL,0TO14,2,10,1436,2020
ALL,ALL,ALL,0TO14,3,10,1255,2020
ALL,ALL,ALL,0TO14,4,10,10084,2020
ALL,ALL,ALL,0TO14,5,10,181469,2020
ALL,ALL,ALL,0TO14,6,10,3024,2020
ALL,ALL,ALL,0TO14,7,10,101901,2020
ALL,ALL,ALL,0TO14,8,10,9659,2020
ALL,ALL,ALL,0TO14,9,10,2907,2020
ALL,ALL,ALL,0TO14,10,10,969,2020
ALL,ALL,ALL,0TO14,11,10,1228,2020
ALL,ALL,ALL,0TO14,12,10,43978,2020
ALL,ALL,ALL,0TO14,13,10,8708,2020
ALL,ALL,ALL,0TO14,14,10,21390,2020
ALL,ALL,ALL,0TO14,15,10,3710,2020
ALL,ALL,ALL,0TO14,16,10,5337,2020
ALL,ALL,ALL,0TO14,17,10,1930,2020
ALL,ALL,ALL,0TO14,18,10,2591,2020
ALL,ALL,ALL,0TO14,19,10,1643,2020
ALL,ALL,ALL,0TO14,20,10,3237,2020
ALL,ALL,ALL,0TO14,21,10,3234,2020
ALL,ALL,ALL,0TO14,22,10,6978,2020
ALL,ALL,ALL,0TO14,23,10,17778,2020
ALL,ALL,ALL,0TO14,24,10,3777,2020
ALL,ALL,ALL,0TO14,25,10,628,2020
ALL,ALL,ALL,0TO14,26,10,5628,2020
ALL,ALL,ALL,0TO14,27,10,1464,2020
ALL,ALL,ALL,0TO14,28,10,3528,2020
ALL,ALL,ALL,0TO14,29,10,595,2020
ALL,ALL,ALL,0TO14,30,10,405,2020
ALL,ALL,ALL,0TO14,31,10,1951,2020
ALL,ALL,ALL,0TO14,32,10,14074,2020
ALL,ALL,ALL,0TO14,33,10,2042,2020
ALL,ALL,ALL,0TO14,34,10,9195,2020
ALL,ALL,ALL,0TO14,35,10,3048,2020
ALL,ALL,ALL,0TO14,36,10,6227,2020
ALL,ALL,ALL,0TO14,37,10,3068,2020
ALL,ALL,ALL,0TO14,38,10,6592,2020
ALL,ALL,ALL,0TO14,39,10,8867,2020
ALL,ALL,ALL,15TO64,1,10,19742,2020
ALL,ALL,ALL,15TO64,2,10,2571,2020
ALL,ALL,ALL,15TO64,3,10,2421,2020
ALL,ALL,ALL,15TO64,4,10,21610,2020
ALL,ALL,ALL,15TO64,5,10,394423,2020
ALL,ALL,ALL,15TO64,6,10,5883,2020
ALL,ALL,ALL,15TO64,7,10,244327,2020
ALL,ALL,ALL,15TO64,8,10,23673,2020
ALL,ALL,ALL,15TO64,9,10,6003,2020
ALL,ALL,ALL,15TO64,10,10,2258,2020
ALL,ALL,ALL,15TO64,11,10,2718,2020
ALL,ALL,ALL,15TO64,12,10,107289,2020
ALL,ALL,ALL,15TO64,13,10,16108,2020
ALL,ALL,ALL,15TO64,14,10,25085,2020
ALL,ALL,ALL,15TO64,15,10,7607,2020
ALL,ALL,ALL,15TO64,16,10,11642,2020
ALL,ALL,ALL,15TO64,17,10,4801,2020
ALL,ALL,ALL,15TO64,18,10,6302,2020
ALL,ALL,ALL,15TO64,19,10,2928,2020
ALL,ALL,ALL,15TO64,20,10,7898,2020
ALL,ALL,ALL,15TO64,21,10,6679,2020
ALL,ALL,ALL,15TO64,22,10,18515,2020
ALL,ALL,ALL,15TO64,23,10,30766,2020
ALL,ALL,ALL,15TO64,24,10,7557,2020
ALL,ALL,ALL,15TO64,25,10,1633,2020
ALL,ALL,ALL,15TO64,26,10,10545,2020
ALL,ALL,ALL,15TO64,27,10,3098,2020
ALL,ALL,ALL,15TO64,28,10,7090,2020
ALL,ALL,ALL,15TO64,29,10,1234,2020
ALL,ALL,ALL,15TO64,30,10,993,2020
ALL,ALL,ALL,15TO64,31,10,3920,2020
ALL,ALL,ALL,15TO64,32,10,30918,2020
ALL,ALL,ALL,15TO64,33,10,4089,2020
ALL,ALL,ALL,15TO64,34,10,15435,2020
ALL,ALL,ALL,15TO64,35,10,6832,2020
ALL,ALL,ALL,15TO64,36,10,12894,2020
ALL,ALL,ALL,15TO64,37,10,5601,2020
ALL,ALL,ALL,15TO64,38,10,16896,2020
ALL,ALL,ALL,15TO64,39,10,16658,2020
ALL,ALL,ALL,65UP,1,10,3343,2020
ALL,ALL,ALL,65UP,2,10,314,2020
ALL,ALL,ALL,65UP,3,10,408,2020
ALL,ALL,ALL,65UP,4,10,3261,2020
ALL,ALL,ALL,65UP,5,10,52282,2020
ALL,ALL,ALL,65UP,6,10,1131,2020
ALL,ALL,ALL,65UP,7,10,26522,2020
ALL,ALL,ALL,65UP,8,10,3363,2020
ALL,ALL,ALL,65UP,9,10,959,2020
ALL,ALL,ALL,65UP,10,10,616,2020
ALL,ALL,ALL,65UP,11,10,802,2020
ALL,ALL,ALL,65UP,12,10,12046,2020
ALL,ALL,ALL,65UP,13,10,2116,2020
ALL,ALL,ALL,65UP,14,10,2108,2020
ALL,ALL,ALL,65UP,15,10,1577,2020
ALL,ALL,ALL,65UP,16,10,2081,2020
ALL,ALL,ALL,65UP,17,10,1271,2020
ALL,ALL,ALL,65UP,18,10,1491,2020
ALL,ALL,ALL,65UP,19,10,353,2020
ALL,ALL,ALL,65UP,20,10,1521,2020
ALL,ALL,ALL,65UP,21,10,1205,2020
ALL,ALL,ALL,65UP,22,10,2574,2020
ALL,ALL,ALL,65UP,23,10,2725,2020
ALL,ALL,ALL,65UP,24,10,1484,2020
ALL,ALL,ALL,65UP,25,10,576,2020
ALL,ALL,ALL,65UP,26,10,1160,2020
ALL,ALL,ALL,65UP,27,10,689,2020
ALL,ALL,ALL,65UP,28,10,1395,2020
ALL,ALL,ALL,65UP,29,10,274,2020
ALL,ALL,ALL,65UP,30,10,235,2020
ALL,ALL,ALL,65UP,31,10,856,2020
ALL,ALL,ALL,65UP,32,10,4215,2020
ALL,ALL,ALL,65UP,33,10,786,2020
ALL,ALL,ALL,65UP,34,10,1670,2020
ALL,ALL,ALL,65UP,35,10,1498,2020
ALL,ALL,ALL,65UP,36,10,2022,2020
ALL,ALL,ALL,65UP,37,10,651,2020
ALL,ALL,ALL,65UP,38,10,2080,2020
ALL,ALL,ALL,65UP,39,10,2456,2020